Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Format
India,Pakistan,drawn,,Eden Gardens,"Dec 30, 1960 - Jan 4, 1961",Test # 501,Test 
India,Pakistan,drawn,,Kanpur,"Dec 16-21, 1960",Test # 499,Test 
India,Pakistan,drawn,,Brabourne,"Dec 2-7, 1960",Test # 497,Test 
Pakistan,India,drawn,,Karachi,"Feb 26-Mar 1, 1955",Test # 400,Test 
Pakistan,India,drawn,,Peshawar,"Feb 12-15, 1955",Test # 398,Test 
Pakistan,India,drawn,,Lahore,"Jan 29-Feb 1, 1955",Test # 397,Test 
Pakistan,India,drawn,,Bahawalpur,"Jan 15-18, 1955",Test # 395,Test 
Pakistan,India,drawn,,Dhaka,"Jan 1-4, 1955",Test # 394,Test 
India,Pakistan,drawn,,Eden Gardens,"Dec 12-15, 1952",Test # 360,Test 
India,Pakistan,drawn,,Chennai,"Nov 28-Dec 1, 1952",Test # 358,Test 
India,Pakistan,India,10 wickets,Brabourne,"Nov 13-16, 1952",Test # 357,Test 
India,Pakistan,Pakistan,inns & 43 runs,Lucknow,"Oct 23-26, 1952",Test # 356,Test 
India,Pakistan,India,inns & 70 runs,Delhi,"Oct 16-18, 1952",Test # 355,Test 
India,Pakistan,India,6 wickets,Dubai (DICS),"Feb 23, 2025",ODI # 4847,ODI 
India,Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",ODI # 4669,ODI 
India,Pakistan,India,228 runs,Colombo (RPS),"Sep 10-11, 2023",ODI # 4639,ODI 
India,Pakistan,no result,,Pallekele,"Sep 2, 2023",ODI # 4630,ODI 
India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161,ODI 
India,Pakistan,India,9 wickets,Dubai (DICS),"Sep 23, 2018",ODI # 4044,ODI 
India,Pakistan,India,8 wickets,Dubai (DICS),"Sep 19, 2018",ODI # 4040,ODI 
India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017",ODI # 3894,ODI 
India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017",ODI # 3878,ODI 
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602,ODI 
India,Pakistan,Pakistan,1 wicket,Mirpur,"Mar 2, 2014",ODI # 3479,ODI 
India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013",ODI # 3372,ODI 
India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013",ODI # 3316,ODI 
India,Pakistan,Pakistan,85 runs,Eden Gardens,"Jan 3, 2013",ODI # 3315,ODI 
India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012",ODI # 3314,ODI 
India,Pakistan,India,6 wickets,Mirpur,"Mar 18, 2012",ODI # 3263,ODI 
India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011",ODI # 3147,ODI 
India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010",ODI # 2996,ODI 
India,Pakistan,Pakistan,54 runs,Centurion,"Sep 26, 2009",ODI # 2898,ODI 
Pakistan,India,Pakistan,8 wickets,Karachi,"Jul 2, 2008",ODI # 2730,ODI 
Pakistan,India,India,6 wickets,Karachi,"Jun 26, 2008",ODI # 2717,ODI 
India,Pakistan,Pakistan,25 runs,Mirpur,"Jun 14, 2008",ODI # 2707,ODI 
India,Pakistan,India,140 runs,Mirpur,"Jun 10, 2008",ODI # 2705,ODI 
India,Pakistan,Pakistan,31 runs,Jaipur,"Nov 18, 2007",ODI # 2647,ODI 
India,Pakistan,India,6 wickets,Gwalior,"Nov 15, 2007",ODI # 2646,ODI 
India,Pakistan,India,46 runs,Kanpur,"Nov 11, 2007",ODI # 2645,ODI 
India,Pakistan,Pakistan,4 wickets,Mohali,"Nov 8, 2007",ODI # 2644,ODI 
India,Pakistan,India,5 wickets,Guwahati,"Nov 5, 2007",ODI # 2643,ODI 
India,Pakistan,India,51 runs,Abu Dhabi,"Apr 19, 2006",ODI # 2364,ODI 
India,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006",ODI # 2363,ODI 
Pakistan,India,India,8 wickets,Karachi,"Feb 19, 2006",ODI # 2333,ODI 
Pakistan,India,India,5 wickets,Multan,"Feb 16, 2006",ODI # 2331,ODI 
Pakistan,India,India,5 wickets,Lahore,"Feb 13, 2006",ODI # 2329,ODI 
Pakistan,India,India,7 wickets,Rawalpindi,"Feb 11, 2006",ODI # 2327,ODI 
Pakistan,India,Pakistan,7 runs,Peshawar,"Feb 6, 2006",ODI # 2324,ODI 
India,Pakistan,Pakistan,159 runs,Delhi,"Apr 17, 2005",ODI # 2240,ODI 
India,Pakistan,Pakistan,5 wickets,Kanpur,"Apr 15, 2005",ODI # 2239,ODI 
India,Pakistan,Pakistan,3 wickets,Ahmedabad,"Apr 12, 2005",ODI # 2238,ODI 
India,Pakistan,Pakistan,106 runs,Jamshedpur,"Apr 9, 2005",ODI # 2237,ODI 
India,Pakistan,India,58 runs,Visakhapatnam,"Apr 5, 2005",ODI # 2236,ODI 
India,Pakistan,India,87 runs,Kochi,"Apr 2, 2005",ODI # 2235,ODI 
India,Pakistan,Pakistan,6 wickets,Eden Gardens,"Nov 13, 2004",ODI # 2192,ODI 
India,Pakistan,Pakistan,3 wickets,Birmingham,"Sep 19, 2004",ODI # 2179,ODI 
India,Pakistan,Pakistan,66 runs,Amstelveen,"Aug 21, 2004",ODI # 2157,ODI 
India,Pakistan,Pakistan,59 runs,Colombo (RPS),"Jul 25, 2004",ODI # 2152,ODI 
Pakistan,India,India,40 runs,Lahore,"Mar 24, 2004",ODI # 2117,ODI 
Pakistan,India,India,5 wickets,Lahore,"Mar 21, 2004",ODI # 2116,ODI 
Pakistan,India,Pakistan,4 wickets,Peshawar,"Mar 19, 2004",ODI # 2115,ODI 
Pakistan,India,Pakistan,12 runs,Rawalpindi,"Mar 16, 2004",ODI # 2114,ODI 
Pakistan,India,India,5 runs,Karachi,"Mar 13, 2004",ODI # 2112,ODI 
India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975,ODI 
India,Pakistan,Pakistan,44 runs,Dhaka,"Jun 3, 2000",ODI # 1600,ODI 
India,Pakistan,Pakistan,98 runs,Sharjah,"Mar 26, 2000",ODI # 1580,ODI 
India,Pakistan,India,5 wickets,Sharjah,"Mar 23, 2000",ODI # 1578,ODI 
India,Pakistan,Pakistan,104 runs,W.A.C.A,"Jan 28, 2000",ODI # 1550,ODI 
India,Pakistan,India,48 runs,Adelaide,"Jan 25, 2000",ODI # 1547,ODI 
India,Pakistan,Pakistan,32 runs,Hobart,"Jan 21, 2000",ODI # 1543,ODI 
India,Pakistan,Pakistan,2 wickets,Brisbane,"Jan 10, 2000",ODI # 1537,ODI 
India,Pakistan,India,47 runs,Manchester,"Jun 8, 1999",ODI # 1476,ODI 
India,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 16, 1999",ODI # 1437,ODI 
India,Pakistan,India,6 wickets,Sharjah,"Apr 13, 1999",ODI # 1435,ODI 
India,Pakistan,Pakistan,116 runs,Sharjah,"Apr 8, 1999",ODI # 1430,ODI 
India,Pakistan,Pakistan,123 runs,Bengaluru,"Apr 4, 1999",ODI # 1428,ODI 
India,Pakistan,Pakistan,7 wickets,Mohali,"Apr 1, 1999",ODI # 1427,ODI 
India,Pakistan,Pakistan,143 runs,Jaipur,"Mar 24, 1999",ODI # 1417,ODI 
India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 20, 1998",ODI # 1353,ODI 
India,Pakistan,Pakistan,134 runs,Toronto,"Sep 19, 1998",ODI # 1352,ODI 
India,Pakistan,Pakistan,77 runs,Toronto,"Sep 16, 1998",ODI # 1351,ODI 
India,Pakistan,Pakistan,51 runs,Toronto,"Sep 13, 1998",ODI # 1350,ODI 
India,Pakistan,India,6 wickets,Toronto,"Sep 12, 1998",ODI # 1349,ODI 
India,Pakistan,India,3 wickets,Dhaka,"Jan 18, 1998",ODI # 1279,ODI 
India,Pakistan,Pakistan,6 wickets,Dhaka,"Jan 16, 1998",ODI # 1277,ODI 
India,Pakistan,India,8 wickets,Dhaka,"Jan 14, 1998",ODI # 1276,ODI 
India,Pakistan,India,18 runs,Dhaka,"Jan 11, 1998",ODI # 1273,ODI 
India,Pakistan,Pakistan,4 wickets,Sharjah,"Dec 14, 1997",ODI # 1262,ODI 
Pakistan,India,Pakistan,9 wickets,Lahore,"Oct 2, 1997",ODI # 1236,ODI 
Pakistan,India,India,4 wickets,Karachi,"Sep 30, 1997",ODI # 1234,ODI 
Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),"Sep 28, 1997",ODI # 1233,ODI 
India,Pakistan,Pakistan,5 wickets,Toronto,"Sep 21, 1997",ODI # 1232,ODI 
India,Pakistan,India,7 wickets,Toronto,"Sep 20, 1997",ODI # 1231,ODI 
India,Pakistan,India,34 runs,Toronto,"Sep 18, 1997",ODI # 1230,ODI 
India,Pakistan,no result,,Toronto,"Sep 17, 1997",ODI # 1229,ODI 
India,Pakistan,India,7 wickets,Toronto,"Sep 14, 1997",ODI # 1228,ODI 
India,Pakistan,India,20 runs,Toronto,"Sep 13, 1997",ODI # 1227,ODI 
India,Pakistan,no result,,Colombo (SSC),"Jul 20, 1997",ODI # 1219,ODI 
India,Pakistan,Pakistan,35 runs,Chennai,"May 21, 1997",ODI # 1209,ODI 
India,Pakistan,Pakistan,52 runs,Toronto,"Sep 23, 1996",ODI # 1119,ODI 
India,Pakistan,Pakistan,97 runs,Toronto,"Sep 21, 1996",ODI # 1118,ODI 
India,Pakistan,India,55 runs,Toronto,"Sep 18, 1996",ODI # 1117,ODI 
India,Pakistan,Pakistan,2 wickets,Toronto,"Sep 17, 1996",ODI # 1116,ODI 
India,Pakistan,India,8 wickets,Toronto,"Sep 16, 1996",ODI # 1115,ODI 
India,Pakistan,India,28 runs,Sharjah,"Apr 15, 1996",ODI # 1098,ODI 
India,Pakistan,Pakistan,38 runs,Sharjah,"Apr 12, 1996",ODI # 1094,ODI 
India,Pakistan,Pakistan,8 wickets,Singapore,"Apr 5, 1996",ODI # 1091,ODI 
India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",ODI # 1078,ODI 
India,Pakistan,Pakistan,97 runs,Sharjah,"Apr 7, 1995",ODI # 995,ODI 
India,Pakistan,Pakistan,39 runs,Sharjah,"Apr 22, 1994",ODI # 912,ODI 
India,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 15, 1994",ODI # 906,ODI 
India,Pakistan,India,43 runs,Sydney,"Mar 4, 1992",ODI # 729,ODI 
India,Pakistan,Pakistan,72 runs,Sharjah,"Oct 25, 1991",ODI # 685,ODI 
India,Pakistan,Pakistan,4 runs,Sharjah,"Oct 23, 1991",ODI # 684,ODI 
India,Pakistan,India,60 runs,Sharjah,"Oct 18, 1991",ODI # 680,ODI 
India,Pakistan,Pakistan,26 runs,Sharjah,"Apr 27, 1990",ODI # 625,ODI 
Pakistan,India,Pakistan,38 runs,Lahore,"Dec 22, 1989",ODI # 595,ODI 
Pakistan,India,no result,,Karachi,"Dec 20, 1989",ODI # 594,ODI 
Pakistan,India,Pakistan,7 runs,Gujranwala,"Dec 18, 1989",ODI # 593,ODI 
India,Pakistan,Pakistan,77 runs,Eden Gardens,"Oct 28, 1989",ODI # 589,ODI 
India,Pakistan,Pakistan,38 runs,Sharjah,"Oct 20, 1989",ODI # 577,ODI 
India,Pakistan,Pakistan,6 wickets,Sharjah,"Oct 15, 1989",ODI # 572,ODI 
India,Pakistan,India,4 wickets,Dhaka,"Oct 31, 1988",ODI # 532,ODI 
India,Pakistan,Pakistan,34 runs,Sharjah,"Oct 19, 1988",ODI # 525,ODI 
India,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 10, 1987",ODI # 447,ODI 
India,Pakistan,Pakistan,5 wickets,Jamshedpur,"Mar 26, 1987",ODI # 440,ODI 
India,Pakistan,Pakistan,41 runs,Nagpur,"Mar 24, 1987",ODI # 439,ODI 
India,Pakistan,Pakistan,6 wickets,Pune,"Mar 22, 1987",ODI # 438,ODI 
India,Pakistan,India,,Hyderabad (Deccan),"Mar 20, 1987",ODI # 436,ODI 
India,Pakistan,Pakistan,2 wickets,Eden Gardens,"Feb 18, 1987",ODI # 434,ODI 
India,Pakistan,Pakistan,3 wickets,Indore,"Jan 27, 1987",ODI # 426,ODI 
India,Pakistan,Pakistan,3 wickets,Sharjah,"Dec 5, 1986",ODI # 406,ODI 
India,Pakistan,Pakistan,1 wicket,Sharjah,"Apr 18, 1986",ODI # 385,ODI 
India,Pakistan,Pakistan,48 runs,Sharjah,"Nov 17, 1985",ODI # 340,ODI 
India,Pakistan,India,38 runs,Sharjah,"Mar 22, 1985",ODI # 321,ODI 
India,Pakistan,India,8 wickets,Melbourne,"Mar 10, 1985",ODI # 319,ODI 
India,Pakistan,India,6 wickets,Melbourne,"Feb 20, 1985",ODI # 309,ODI 
Pakistan,India,no result,,Sialkot,"Oct 31, 1984",ODI # 273,ODI 
Pakistan,India,Pakistan,46 runs,Quetta,"Oct 12, 1984",ODI # 272,ODI 
India,Pakistan,India,54 runs,Sharjah,"Apr 13, 1984",ODI # 261,ODI 
India,Pakistan,India,4 wickets,Jaipur,"Oct 2, 1983",ODI # 225,ODI 
India,Pakistan,India,4 wickets,Hyderabad (Deccan),"Sep 10, 1983",ODI # 224,ODI 
Pakistan,India,Pakistan,8 wickets,Karachi,"Jan 21, 1983",ODI # 172,ODI 
Pakistan,India,India,18 runs,Lahore,"Dec 31, 1982",ODI # 164,ODI 
Pakistan,India,Pakistan,37 runs,Multan,"Dec 17, 1982",ODI # 163,ODI 
Pakistan,India,Pakistan,14 runs,Gujranwala,"Dec 3, 1982",ODI # 162,ODI 
Pakistan,India,Pakistan,,Sahiwal,"Nov 3, 1978",ODI # 56,ODI 
Pakistan,India,Pakistan,8 wickets,Sialkot,"Oct 13, 1978",ODI # 55,ODI 
Pakistan,India,India,4 runs,Quetta,"Oct 1, 1978",ODI # 54,ODI 
India,Pakistan,India,6 runs,New York,"Jun 9, 2024",T20I # 2658,T20I 
India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842,T20I 
India,Pakistan,Pakistan,5 wickets,Dubai (DICS),"Sep 4, 2022",T20I # 1758,T20I 
India,Pakistan,India,5 wickets,Dubai (DICS),"Aug 28, 2022",T20I # 1750,T20I 
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),"Oct 24, 2021",T20I # 1361,T20I 
India,Pakistan,India,6 wickets,Eden Gardens,"Mar 19, 2016",T20I # 541,T20I 
India,Pakistan,India,5 wickets,Mirpur,"Feb 27, 2016",T20I # 512,T20I 
India,Pakistan,India,7 wickets,Mirpur,"Mar 21, 2014",T20I # 378,T20I 
India,Pakistan,India,11 runs,Ahmedabad,"Dec 28, 2012",T20I # 298,T20I 
India,Pakistan,Pakistan,5 wickets,Bengaluru,"Dec 25, 2012",T20I # 296,T20I 
India,Pakistan,India,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 282,T20I 
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46,T20I 
India,Pakistan,tied,,Durban,"Sep 14, 2007",T20I # 29,T20I 
Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",ODI # 4679,ODI 
Afghanistan,Pakistan,Pakistan,59 runs,Colombo (RPS),"Aug 26, 2023",ODI # 4627,ODI 
Afghanistan,Pakistan,Pakistan,1 wicket,Hambantota,"Aug 24, 2023",ODI # 4626,ODI 
Afghanistan,Pakistan,Pakistan,142 runs,Hambantota,"Aug 22, 2023",ODI # 4625,ODI 
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019",ODI # 4177,ODI 
Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,"Sep 21, 2018",ODI # 4043,ODI 
Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014",ODI # 3475,ODI 
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,"Feb 10, 2012",ODI # 3236,ODI 
Afghanistan,Pakistan,Afghanistan,4 wickets,Hangzhou,"Oct 6, 2023",T20I # 2297,T20I 
Afghanistan,Pakistan,Pakistan,66 runs,Sharjah,"Mar 27, 2023",T20I # 2035,T20I 
Afghanistan,Pakistan,Afghanistan,7 wickets,Sharjah,"Mar 26, 2023",T20I # 2033,T20I 
Afghanistan,Pakistan,Afghanistan,6 wickets,Sharjah,"Mar 24, 2023",T20I # 2030,T20I 
Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,"Sep 7, 2022",T20I # 1760,T20I 
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),"Oct 29, 2021",T20I # 1377,T20I 
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,"Dec 8, 2013",T20I # 349,T20I 
Australia,Pakistan,Australia,8 wickets,Sydney,"Jan 3-6, 2024",Test # 2521,Test 
Australia,Pakistan,Australia,79 runs,Melbourne,"Dec 26-29, 2023",Test # 2519,Test 
Australia,Pakistan,Australia,360 runs,Perth,"Dec 14-17, 2023",Test # 2518,Test 
Pakistan,Australia,Australia,115 runs,Lahore,"Mar 21-25, 2022",Test # 2458,Test 
Pakistan,Australia,drawn,,Karachi,"Mar 12-16, 2022",Test # 2455,Test 
Pakistan,Australia,drawn,,Rawalpindi,"Mar 4-8, 2022",Test # 2453,Test 
Australia,Pakistan,Australia,inns & 48 runs,Adelaide,"Nov 29-Dec 2, 2019",Test # 2372,Test 
Australia,Pakistan,Australia,inns & 5 runs,Brisbane,"Nov 21-24, 2019",Test # 2368,Test 
Australia,Pakistan,Pakistan,373 runs,Abu Dhabi,"Oct 16-19, 2018",Test # 2322,Test 
Australia,Pakistan,drawn,,Dubai (DICS),"Oct 7-11, 2018",Test # 2320,Test 
Australia,Pakistan,Australia,220 runs,Sydney,"Jan 3-7, 2017",Test # 2245,Test 
Australia,Pakistan,Australia,inns & 18 runs,Melbourne,"Dec 26-30, 2016",Test # 2242,Test 
Australia,Pakistan,Australia,39 runs,Brisbane,"Dec 15-19, 2016",Test # 2240,Test 
Australia,Pakistan,Pakistan,356 runs,Abu Dhabi,"Oct 30-Nov 3, 2014",Test # 2142,Test 
Australia,Pakistan,Pakistan,221 runs,Dubai (DICS),"Oct 22-26, 2014",Test # 2140,Test 
Australia,Pakistan,Pakistan,3 wickets,Leeds,"Jul 21-24, 2010",Test # 1965,Test 
Australia,Pakistan,Australia,150 runs,Lord's,"Jul 13-16, 2010",Test # 1963,Test 
Australia,Pakistan,Australia,231 runs,Hobart,"Jan 14-18, 2010",Test # 1947,Test 
Australia,Pakistan,Australia,36 runs,Sydney,"Jan 3-6, 2010",Test # 1945,Test 
Australia,Pakistan,Australia,170 runs,Melbourne,"Dec 26-30, 2009",Test # 1943,Test 
Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 2-5, 2005",Test # 1731,Test 
Australia,Pakistan,Australia,9 wickets,Melbourne,"Dec 26-29, 2004",Test # 1729,Test 
Australia,Pakistan,Australia,491 runs,W.A.C.A,"Dec 16-19, 2004",Test # 1726,Test 
Australia,Pakistan,Australia,inns & 20 runs,Sharjah,"Oct 19-22, 2002",Test # 1620,Test 
Australia,Pakistan,Australia,inns & 198 runs,Sharjah,"Oct 11-12, 2002",Test # 1617,Test 
Australia,Pakistan,Australia,41 runs,Colombo (PSS),"Oct 3-7, 2002",Test # 1615,Test 
Australia,Pakistan,Australia,inns & 20 runs,W.A.C.A,"Nov 26-28, 1999",Test # 1472,Test 
Australia,Pakistan,Australia,4 wickets,Hobart,"Nov 18-22, 1999",Test # 1469,Test 
Australia,Pakistan,Australia,10 wickets,Brisbane,"Nov 5-9, 1999",Test # 1467,Test 
Pakistan,Australia,drawn,,Karachi,"Oct 22-26, 1998",Test # 1427,Test 
Pakistan,Australia,drawn,,Peshawar,"Oct 15-19, 1998",Test # 1426,Test 
Pakistan,Australia,Australia,inns & 99 runs,Rawalpindi,"Oct 1-5, 1998",Test # 1424,Test 
Australia,Pakistan,Pakistan,74 runs,Sydney,"Nov 30-Dec 4, 1995",Test # 1314,Test 
Australia,Pakistan,Australia,155 runs,Hobart,"Nov 17-20, 1995",Test # 1313,Test 
Australia,Pakistan,Australia,inns & 126 runs,Brisbane,"Nov 9-13, 1995",Test # 1311,Test 
Pakistan,Australia,drawn,,Lahore,"Nov 1-5, 1994",Test # 1273,Test 
Pakistan,Australia,drawn,,Rawalpindi,"Oct 5-9, 1994",Test # 1269,Test 
Pakistan,Australia,Pakistan,1 wicket,Karachi,"Sep 28-Oct 2, 1994",Test # 1268,Test 
Australia,Pakistan,drawn,,Sydney,"Feb 3-8, 1990",Test # 1137,Test 
Australia,Pakistan,drawn,,Adelaide,"Jan 19-23, 1990",Test # 1135,Test 
Australia,Pakistan,Australia,92 runs,Melbourne,"Jan 12-16, 1990",Test # 1134,Test 
Pakistan,Australia,drawn,,Lahore,"Oct 7-11, 1988",Test # 1106,Test 
Pakistan,Australia,drawn,,Faisalabad,"Sep 23-28, 1988",Test # 1105,Test 
Pakistan,Australia,Pakistan,inns & 188 runs,Karachi,"Sep 15-20, 1988",Test # 1104,Test 
Australia,Pakistan,Australia,10 wickets,Sydney,"Jan 2-6, 1984",Test # 974,Test 
Australia,Pakistan,drawn,,Melbourne,"Dec 26-30, 1983",Test # 973,Test 
Australia,Pakistan,drawn,,Adelaide,"Dec 9-13, 1983",Test # 970,Test 
Australia,Pakistan,drawn,,Brisbane,"Nov 25-29, 1983",Test # 969,Test 
Australia,Pakistan,Australia,inns & 9 runs,W.A.C.A,"Nov 11-14, 1983",Test # 966,Test 
Pakistan,Australia,Pakistan,9 wickets,Lahore,"Oct 14-19, 1982",Test # 937,Test 
Pakistan,Australia,Pakistan,inns & 3 runs,Faisalabad,"Sep 30-Oct 5, 1982",Test # 936,Test 
Pakistan,Australia,Pakistan,9 wickets,Karachi,"Sep 22-27, 1982",Test # 935,Test 
Australia,Pakistan,Pakistan,inns & 82 runs,Melbourne,"Dec 11-15, 1981",Test # 913,Test 
Australia,Pakistan,Australia,10 wickets,Brisbane,"Nov 27-Dec 1, 1981",Test # 910,Test 
Australia,Pakistan,Australia,286 runs,W.A.C.A,"Nov 13-17, 1981",Test # 909,Test 
Pakistan,Australia,drawn,,Lahore,"Mar 18-23, 1980",Test # 879,Test 
Pakistan,Australia,drawn,,Faisalabad,"Mar 6-11, 1980",Test # 878,Test 
Pakistan,Australia,Pakistan,7 wickets,Karachi,"Feb 27-Mar 2, 1980",Test # 876,Test 
Australia,Pakistan,Australia,7 wickets,W.A.C.A,"Mar 24-29, 1979",Test # 850,Test 
Australia,Pakistan,Pakistan,71 runs,Melbourne,"Mar 10-15, 1979",Test # 849,Test 
Australia,Pakistan,Pakistan,8 wickets,Sydney,"Jan 14-18, 1977",Test # 792,Test 
Australia,Pakistan,Australia,348 runs,Melbourne,"Jan 1-6, 1977",Test # 790,Test 
Australia,Pakistan,drawn,,Adelaide,"Dec 24-29, 1976",Test # 789,Test 
Australia,Pakistan,Australia,52 runs,Sydney,"Jan 6-11, 1973",Test # 707,Test 
Australia,Pakistan,Australia,92 runs,Melbourne,"Dec 29, 1972 - Jan 3, 1973",Test # 705,Test 
Australia,Pakistan,Australia,inns & 114 runs,Adelaide,"Dec 22-27, 1972",Test # 704,Test 
Australia,Pakistan,drawn,,Melbourne,"Dec 4-8, 1964",Test # 570,Test 
Pakistan,Australia,drawn,,Karachi,"Oct 24-29, 1964",Test # 569,Test 
